chembl_id,IC50_nM_geomean,n_replicates,smiles
CHEMBL4454044,3899.9999999999977,1,CC(C)c1cnn2c(NCc3ccccc3N(C)C)nc(OC3CCN(C)CC3)nc12
CHEMBL445420,96999.99999999997,1,O=C(Nc1ccccc1)c1cc[nH]n1
CHEMBL4455210,699.9999999999998,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1CC1
CHEMBL445607,340.0000000000001,1,O=C1Nc2cccc(CCO)c2/C1=C/c1[nH]cc2c1CCNC2=O
CHEMBL4457608,2.0,1,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C1/Nc2ccc(O)cc2/C1=N\O
CHEMBL445813,21.6794833886788,2,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl
CHEMBL445945,1.5,1,NS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncccc4c32)cc1
CHEMBL446024,999.9999999999998,1,FC(F)(F)CNc1nccc(-c2cnn3ncccc23)n1
CHEMBL4461442,135.00000000000003,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)P(C)(C)=O)C5)ncc3F)cc2n1C(C)C
CHEMBL4461579,146.99999999999997,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C(=S)n4ccnc4)C5)ncc3F)cc2n1C(C)C
CHEMBL4462126,36999.99999999997,1,CC(C1CC1)n1cnc2c(NCc3cccc(C(F)(F)F)c3)nc(NCCN(C)C)nc21
CHEMBL4462493,17.4,1,CCC(CC)n1c(C)nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc21
CHEMBL4463172,16.300000000000004,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C(=N)N)C5)ncc3F)cc2n1C(C)C
CHEMBL4463716,167.00000000000006,1,C#CCN(C)CCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1
CHEMBL4463874,78.19999999999999,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)CCNC(=N)N)C5)ncc3F)cc2n1C(C)C
CHEMBL4466497,54.89999999999998,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C
CHEMBL4471178,12999.99999999999,1,CC(C)n1cnc2c(NCc3cccc(C(F)(F)F)c3)ncnc21
CHEMBL4471323,630.0000000000001,1,CCC1SCC(=O)N1c1c(C#N)c2n(c1C(=O)Nc1ccccc1)CCC2
CHEMBL447317,5299.999999999996,1,CNC(=N)SCCCN1C(=O)C2=C(C1=O)n1ccc3cccc(c31)C1Cc3ccccc3N21
CHEMBL447758,16899.999999999993,1,O=C1NC(=O)c2ccccc2/C1=C/NCc1cccc(O)c1
CHEMBL448316,749.9999999999999,1,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(F)cc(F)cc1F
CHEMBL4483629,50000.00000000001,1,Clc1nc(NCc2ccccn2)c2c(-c3ccccc3)cccc2n1
CHEMBL448853,6999.999999999999,1,Clc1cncc(Nc2ccccc2)n1
CHEMBL449818,2699.999999999999,1,O=C1NC(=O)c2ccc(Br)cc2/C1=C/NCc1cc[nH]c(=O)c1
CHEMBL450383,12500.0,1,O=C1NC(=O)c2ccccc2/C1=C/NCc1ccc(O)c(O)c1
CHEMBL450786,41533.11931459036,2,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1
CHEMBL451462,17.999999999999996,1,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3)ncc2F)n1C(C)C
CHEMBL4518287,457.820925690384,2,C=CS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
CHEMBL452447,3599.999999999998,1,O=C1NC(=O)c2ccc(I)cc2/C1=C/NCc1ccc(-c2cccnc2)c(O)c1
CHEMBL4525034,117.00000000000003,1,CCOP(=O)(OCC)N(C)CCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1
CHEMBL452601,4.999999999999999,1,C[C@H]1CNC[C@H](C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1
CHEMBL452602,19.999999999999996,1,C[C@@H]1CNC[C@H](C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1
CHEMBL4527978,580.0,1,CC/C=N/c1c(C#N)c2n(c1C(=O)Nc1ccccc1)CCC2
CHEMBL453629,3.0000000000000004,1,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)NCCN(C)C)c(F)c3)n2)n1C(C)C
CHEMBL453651,62.00000000000001,1,CNC(=O)c1ccc(Nc2nccc(-c3cnc(COC)n3C(C)C)n2)cc1
CHEMBL453655,3.0000000000000004,1,CNC(=O)c1ccc(Nc2ncc(F)c(-c3cnc(C)n3C(C)C)n2)cc1
CHEMBL4538174,790.0000000000002,1,C[C@@H](NC(=O)Nc1cc2[nH]ncc2c(CO)n1)c1ccccc1
CHEMBL453862,2.0,1,Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)cc3)ncc2F)n1C(C)C
CHEMBL453895,11.000000000000002,1,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)n2)n1C(C)C
CHEMBL4542247,16.300000000000004,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1(C)CC1
CHEMBL454645,13.999999999999996,1,CC1CCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CN1
CHEMBL454646,139.99999999999994,1,CC1CNCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1
CHEMBL454648,2.0,1,Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)c(F)c3)ncc2F)n1C(C)C
CHEMBL45477,310.00000000000006,1,CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccc([N+](=O)[O-])cc2)C3=O)CC1
CHEMBL4549667,999.9999999999998,1,CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Br)C2=O)COc2ccccc21
CHEMBL454973,31000.000000000022,1,CNc1nc2sc(-c3cccc(CNC(C)=O)c3)nc2c2c1ncn2C
CHEMBL4550287,16.300000000000004,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)C1CC1
CHEMBL455194,15.0,1,CC1CC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CCN1
CHEMBL455195,3.0000000000000004,1,CCC1CC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CCN1
CHEMBL4552628,51.0,1,Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12
CHEMBL455450,36.0,1,C[C@H]1CNC[C@@H](C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1
CHEMBL455467,9.000000000000002,1,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3)n2)n1C(C)C
CHEMBL455468,36.99999999999999,1,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3)n2)n1C(C)C
CHEMBL455657,2.0,1,CN[C@H]1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1
CHEMBL455946,659.9999999999999,1,NS(=O)(=O)c1ccc(NC(=O)c2n[nH]c3ccccc23)cc1
CHEMBL456163,850.0000000000003,1,CC(=O)Nc1c[nH]nc1C(=O)Nc1ccc(F)cc1
CHEMBL4562323,6.4,1,CC(C)c1cnn2c(NCc3ccccc3-n3cccn3)nc(OC3CCCNC3)nc12
CHEMBL4568087,2.2,1,Cn1cc(-c2cnc3c(-c4csc(C(=O)N[C@@H]5CCCC[C@@H]5N)c4)cnn3c2)cn1
CHEMBL4569508,12.0,1,O=C(NCC(F)(F)F)c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)cs1
CHEMBL456963,12.0,1,O=C(NC1CCCCC1)c1n[nH]cc1NC(=O)c1c(F)cccc1F
CHEMBL457047,120000.00000000006,1,NS(=O)(=O)c1cccc2c(O)cccc12
CHEMBL457177,18.999999999999996,1,O=C(N[C@H]1CC[C@H](O)CC1)c1n[nH]cc1NC(=O)c1c(F)cccc1F
CHEMBL457179,92000.0,1,CN(CCc1c[nH]c2ccccc12)C(=O)c1ccc(-c2ccncc2)cc1
CHEMBL457208,1599.9999999999998,1,O=C(Cc1ccccc1)Nc1c[nH]nc1C(=O)Nc1ccc(F)cc1
CHEMBL457388,139.99999999999994,1,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(F)cccc1F
CHEMBL457887,36.0,1,Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)CCCN(C)C)cc3)n2)n1C(C)C
CHEMBL457888,33.0,1,Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)CCCN4CCOCC4)cc3)n2)n1C(C)C
CHEMBL4579344,4.999999999999999,1,Cc1cc(C)c(CNc2nc(N[C@@H](C)[C@@H](C)O)nc3c2ncn3C(C)C)cn1
CHEMBL457979,18.999999999999996,1,Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)Cc4ccccc4)cc3)n2)n1C(C)C
CHEMBL4582951,2117.000000000001,1,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)N[C@@]2(C)CCC[C@@H](Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)C2)nc1
CHEMBL458420,1800.0000000000005,1,O=C(Nc1ccccc1)Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1
CHEMBL458421,159.99999999999994,1,O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)Nc1c(F)cccc1F
